City ID,City,State,Country,Region,Market
1,Aachen,North Rhine-Westphalia,Germany,Western Europe,Europe
2,Aalen,Baden-Württemberg,Germany,Western Europe,Europe
3,Aalst,East Flanders,Belgium,Western Europe,Europe
4,Aba,Abia,Nigeria,Western Africa,Africa
5,Abadan,Khuzestan,Iran,Southern Asia,Asia Pacific
6,Abakaliki,Ebonyi,Nigeria,Western Africa,Africa
7,Abbeville,Nord-Pas-de-Calais-Picardie,France,Western Europe,Europe
8,Abbotsford,British Columbia,Canada,Canada,USCA
9,Abeokuta,Ogun,Nigeria,Western Africa,Africa
10,Aberdeen,Scotland,United Kingdom,Northern Europe,Europe
11,Aberdeen,South Dakota,United States,Central US,USCA
12,Abha,'Asir,Saudi Arabia,Western Asia,Asia Pacific
13,Abidjan,Lagunes,Cote d'Ivoire,Western Africa,Africa
14,Abilene,Texas,United States,Central US,USCA
15,Abreu e Lima,Pernambuco,Brazil,South America,LATAM
16,Abu Kabir,Ash Sharqiyah,Egypt,North Africa,Africa
17,Abuja,Abuja Capital Territory,Nigeria,Western Africa,Africa
18,Acámbaro,Guanajuato,Mexico,Central America,LATAM
19,Acarigua,Portuguesa,Venezuela,South America,LATAM
20,Acayucan,Veracruz,Mexico,Central America,LATAM
21,Accra,Greater Accra,Ghana,Western Africa,Africa
22,Acerra,Campania,Italy,Southern Europe,Europe
23,Acireale,Sicily,Italy,Southern Europe,Europe
24,Açu,Rio Grande do Norte,Brazil,South America,LATAM
25,Acuña,Coahuila,Mexico,Central America,LATAM
26,Ad Diwaniyah,Al Qadisiyah,Iraq,Western Asia,Asia Pacific
27,Ad Diwem,White Nile,Sudan,North Africa,Africa
28,Adana,Adana,Turkey,Western Asia,Asia Pacific
29,Adelaide,South Australia,Australia,Oceania,Asia Pacific
30,Adiyaman,Adiyaman,Turkey,Western Asia,Asia Pacific
31,Aew?l-li,Jeju,South Korea,Eastern Asia,Asia Pacific
32,Afragola,Campania,Italy,Southern Europe,Europe
33,Afyon,Afyonkarahisar,Turkey,Western Asia,Asia Pacific
34,Agadir,Souss-Massa-Draâ,Morocco,North Africa,Africa
35,Agde,Languedoc-Roussillon-Midi-Pyrénées,France,Western Europe,Europe
36,Agen,Aquitaine-Limousin-Poitou-Charentes,France,Western Europe,Europe
37,Agra,Uttar Pradesh,India,Southern Asia,Asia Pacific
38,Agrigento,Sicily,Italy,Southern Europe,Europe
39,Águas Lindas de Goiás,Goiás,Brazil,South America,LATAM
40,Ahvaz,Khuzestan,Iran,Southern Asia,Asia Pacific
